id,label,randomnumber,organism,UGness
A0A060RDL6,retron,38,bacterial,nonUG
A0A379MQF2,retron,38,bacterial,nonUG
A0A1H4MUQ6,retron,39,bacterial,nonUG
A0A2G1BV13,retron,39,bacterial,nonUG
A0A5B8VDR7,retron,40,bacterial,nonUG
A0A4Q5LJV1,retron,40,bacterial,nonUG
A0A3N8PAU5,retron,41,bacterial,nonUG
A0A4Q1HJL4,retron,41,bacterial,nonUG
S2ETR1,retron,42,bacterial,nonUG
A0A2Z5UTB7,retron,42,bacterial,nonUG
A0A7Y7ICE6,retron,43,bacterial,nonUG
A0A2I0EU16,retron,43,bacterial,nonUG
A0A177W1C9,retron,44,bacterial,nonUG
A0A7Y3CKT6,retron,44,bacterial,nonUG
A0A540VQ97,retron,45,bacterial,nonUG
A0A1G0KBC3,retron,45,bacterial,nonUG
A0A1N6LZW7,retron,46,bacterial,nonUG
A0A064E6Q4,retron,46,bacterial,nonUG
G0A4K9,retron,47,bacterial,nonUG
A0A2N7EBL6,retron,47,bacterial,nonUG
A0A7W1NPA9,retron,48,bacterial,nonUG
A0A7V7YE37,retron,48,bacterial,nonUG
A0A290TU22,retron,49,bacterial,nonUG
A0A2N8SPL7,retron,49,bacterial,nonUG
A0A2D8J266,retron,50,bacterial,nonUG
A0A3D8GYD0,retron,50,bacterial,nonUG
A0A0K9TGL3,retron,51,bacterial,nonUG
A0A1C3ZMG4,retron,51,bacterial,nonUG
A0A172UC81,retron,52,bacterial,nonUG
A0A809QXW8,retron,52,bacterial,nonUG
A0A840GIM2,retron,53,bacterial,nonUG
G0AC57,retron,53,bacterial,nonUG
A0A221KDQ8,retron,54,bacterial,nonUG
A0A366FEC3,retron,54,bacterial,nonUG
A0A7L5A4W3,retron,55,bacterial,nonUG
A0A1H4QGE1,retron,55,bacterial,nonUG
A0A3M2BT43,retron,56,bacterial,nonUG
A0A7C3F755,retron,56,bacterial,nonUG
A0A1E3YBT8,retron,57,bacterial,nonUG
A0A1F2SPC7,retron,57,bacterial,nonUG
A0A2V8PXR5,retron,58,bacterial,nonUG
A0A1F7XM93,retron,58,bacterial,nonUG
A0A1F5FPC6,retron,59,bacterial,nonUG
A0A1G1WP18,retron,59,bacterial,nonUG
A0A4P9A3Z4,retron,60,bacterial,nonUG
A0A4R1VRZ1,retron,60,bacterial,nonUG
A0A1F7CNN7,retron,61,bacterial,nonUG
A0A2H0RTF6,retron,61,bacterial,nonUG
A0A0S8J762,retron,62,bacterial,nonUG
A0A1F5TQJ6,retron,62,bacterial,nonUG
A0A3R6ZVV7,retron,63,bacterial,nonUG
A0A1G1P8D1,retron,63,bacterial,nonUG
A0A2E7KFH0,retron,64,bacterial,nonUG
A0A0J1B4S1,retron,64,bacterial,nonUG
A0A4P7UJX5,retron,65,bacterial,nonUG
A0A523Z2X7,retron,65,bacterial,nonUG
A0A1G1NY65,retron,66,bacterial,nonUG
A0A1F6HTA5,retron,66,bacterial,nonUG
A0A7T9CQ57,retron,67,bacterial,nonUG
A0A2E2C4F4,retron,67,bacterial,nonUG
A0A7W5H4T3,retron,68,bacterial,nonUG
A0A518KUC0,retron,68,bacterial,nonUG
A0A6N9ACI8,retron,69,bacterial,nonUG
A0A1W9J1Y0,retron,69,bacterial,nonUG
A0A7V1F6Z3,retron,70,bacterial,nonUG
A0A445MXS3,retron,70,bacterial,nonUG
A0A7K1KL67,retron,71,bacterial,nonUG
A0A7C5EDI1,retron,71,bacterial,nonUG
A0A7T9H4G9,retron,72,bacterial,nonUG
A0A351MK72,retron,72,bacterial,nonUG
A0A1G6JLR1,retron,73,bacterial,nonUG
A0A1V0DDI5,retron,73,bacterial,nonUG
A0A382A9S0,retron,74,bacterial,nonUG
A0A2E1KM22,retron,74,bacterial,nonUG
A0A2E7CLN5,retron,75,bacterial,nonUG
A0A2E7HQI7,retron,75,bacterial,nonUG
A0A126V3D5,retron,76,bacterial,nonUG
A0A4R1D371,retron,76,bacterial,nonUG
A0A1F6W4H6,retron,77,bacterial,nonUG
A0A0G0AXR3,retron,77,bacterial,nonUG
A0A142X8K2,retron,78,bacterial,nonUG
A0A5S9F473,retron,78,bacterial,nonUG
A0A7V2XTI5,retron,79,bacterial,nonUG
A0A2E8B118,retron,79,bacterial,nonUG
A0A7Z9IAM1,retron,80,bacterial,nonUG
A0A2D9Z2K8,retron,80,bacterial,nonUG
A0A353DGV7,retron,81,bacterial,nonUG
A0A354W7U0,retron,81,bacterial,nonUG
N1ZCL8,retron,82,bacterial,nonUG
A0A1V4IXF0,retron,82,bacterial,nonUG
A0A2E7CL21,retron,83,bacterial,nonUG
I4APC9,retron,83,bacterial,nonUG
A0A3S0NCM9,retron,84,bacterial,nonUG
A0A6P0U1P2,retron,84,bacterial,nonUG
A0A1D8J5C0,retron,85,bacterial,nonUG
U4T817,retron,85,bacterial,nonUG
A0A1N7J1S3,retron,86,bacterial,nonUG
A0A838UN69,retron,86,bacterial,nonUG
A0A3D8MSH4,retron,87,bacterial,nonUG
A0A3L7SGD7,retron,87,bacterial,nonUG
A0A523U0G7,retron,88,bacterial,nonUG
A0A2E5VCH6,retron,88,bacterial,nonUG
Q31A85,retron,89,bacterial,nonUG
A0A2S8FQC8,retron,89,bacterial,nonUG
A0A7V5KV02,retron,90,bacterial,nonUG
A0A0F9QW46,retron,90,bacterial,nonUG
A0A2Z3H9D7,retron,91,bacterial,nonUG
A0A6M8VX92,retron,91,bacterial,nonUG
A0A5S3PUU1,retron,92,bacterial,nonUG
A0A344LUT8,retron,92,bacterial,nonUG
A0A2X2LHA8,,93,bacterial,nonUG
A0A2C6CNE8,,93,bacterial,nonUG
A0A542RI91,,94,bacterial,nonUG
A0A414I6A1,,94,bacterial,nonUG
A0A0E3QDK3,,95,bacterial,nonUG
A0A0E3RW41,,95,bacterial,nonUG
A0A7K4H7S1,,96,bacterial,nonUG
A0A1H0G6H4,,96,bacterial,nonUG
A0A3E2WX17,,97,bacterial,nonUG
V6J1K8,,97,bacterial,nonUG
A0A401UI85,,98,bacterial,nonUG
A0A2N1V071,,98,bacterial,nonUG
A0A1F9XM12,,99,bacterial,nonUG
A0A4R3NF62,,99,bacterial,nonUG
A4G158,,100,bacterial,nonUG
A0A8B5NDN0,,100,bacterial,nonUG
J8AGS9,,101,bacterial,nonUG
A0A0F9JNI7,,101,bacterial,nonUG
A0A222ETX7,,102,bacterial,nonUG
A0A7C1MNA0,,102,bacterial,nonUG
A0A5E7MQ93,,103,bacterial,nonUG
Q477P7,,103,bacterial,nonUG
A0A1M6AZH8,,104,bacterial,nonUG
A0A090QCG5,,104,bacterial,nonUG
A0A2N4XD69,,105,bacterial,nonUG
A0A3R6ADU9,,105,bacterial,nonUG
A0A0F7GD60,,106,bacterial,nonUG
A0A4Q6F417,,106,bacterial,nonUG
A0A2L1CLB7,,107,bacterial,nonUG
A0A4U1YY68,,107,bacterial,nonUG
A0A2A1ZNS9,,108,bacterial,nonUG
A0A2P8NDL6,,108,bacterial,nonUG
A0A3D9KE31,,109,bacterial,nonUG
A0A1H3DSX3,,109,bacterial,nonUG
A0A0F3HA32,,110,bacterial,nonUG
A0A371CGB7,,110,bacterial,nonUG
S7U3H2,,111,bacterial,nonUG
A0A7C8HUU0,,111,bacterial,nonUG
A0A4P7BRK6,,112,bacterial,nonUG
A0A2M8Y856,,112,bacterial,nonUG
A0A2X4Y9M3,,113,bacterial,nonUG
A0A2S5F6K8,,113,bacterial,nonUG
A0A7Y1BM70,,114,bacterial,nonUG
A0A506UHP4,,114,bacterial,nonUG
A0A2T9K8W1,,115,bacterial,nonUG
A0A6A1TUW0,,115,bacterial,nonUG
A0A7X6GKG4,,116,bacterial,nonUG
G8NSP1,,116,bacterial,nonUG
A0A2V6LFV7,,117,bacterial,nonUG
U2SCG5,,117,bacterial,nonUG
A5ZA82,,118,bacterial,nonUG
A0A355X6L4,,118,bacterial,nonUG
A0A1G4SF02,,119,bacterial,nonUG
A0A1C6BXJ6,,119,bacterial,nonUG
A0A417IJM7,,120,bacterial,nonUG
A0A3A6EWI3,,120,bacterial,nonUG
A0A7X5CB38,,121,bacterial,nonUG
A0A7S7ER05,,121,bacterial,nonUG
A0A1Y4EPM7,,122,bacterial,nonUG
A0A3N9PWQ5,,122,bacterial,nonUG
A0A2U1AT38,,123,bacterial,nonUG
A0A354U4S8,,123,bacterial,nonUG
A0A317F747,,124,bacterial,nonUG
A0A096AYN0,,124,bacterial,nonUG
A0A4Q3ECR9,,125,bacterial,nonUG
S1MU46,,125,bacterial,nonUG
A0A2U0DLL9,,126,bacterial,nonUG
A0A1Q5PCS6,,126,bacterial,nonUG
A0A7V7TXS3,,127,bacterial,nonUG
A0A1Y4MUH3,,127,bacterial,nonUG
A0A564UUV8,,128,bacterial,nonUG
A0A351VC69,,128,bacterial,nonUG
A0A7U6KEK3,,129,bacterial,nonUG
A0A1G0ZFP0,,129,bacterial,nonUG
A0A0A2TF72,,130,bacterial,nonUG
A0A0R1WII8,,130,bacterial,nonUG
A0A2Z4VX68,,131,bacterial,nonUG
A0A524CN96,,131,bacterial,nonUG
A0A1S8NE49,,132,bacterial,nonUG
A0A069SPB9,,132,bacterial,nonUG
A0A7X1S119,,133,bacterial,nonUG
A0A842VQB4,,133,bacterial,nonUG
R5DJE4,,134,bacterial,nonUG
A0A7T0QZR6,,134,bacterial,nonUG
A0A4R2TJC9,,135,bacterial,nonUG
A0A0W0PG39,,135,bacterial,nonUG
A0A1Y6MHN1,,136,bacterial,nonUG
A0A4R7P5M4,,136,bacterial,nonUG
R7JAG0,,137,bacterial,nonUG
A0A518GFJ7,,137,bacterial,nonUG
A0A1R3U6U3,,138,bacterial,nonUG
A0A291GDZ8,,138,bacterial,nonUG
E5Y519,,139,bacterial,nonUG
A0A1Y0NZ40,,139,bacterial,nonUG
A0A5F2CNS7,,140,bacterial,nonUG
A0A0F6L8U3,,140,bacterial,nonUG
A0A2T0VAK9,,141,bacterial,nonUG
A0A2I1Y8C6,,141,bacterial,nonUG
A0A1Y3LSH4,,142,bacterial,nonUG
A0A3N1ZRK8,,142,bacterial,nonUG
A0A3R9XE51,,143,bacterial,nonUG
A0A2A9CVU4,,143,bacterial,nonUG
A0A4S2RS39,,144,bacterial,nonUG
A0A839E6C7,,144,bacterial,nonUG
A0A1H1Q012,,145,bacterial,nonUG
A0A7Z9PSM6,,145,bacterial,nonUG
A0A4V6Z7Q9,,146,bacterial,nonUG
A0A1H1D3D7,,146,bacterial,nonUG
A0A261GFC6,,147,bacterial,nonUG
A0A1E4ZRC1,,147,bacterial,nonUG
A0A3M6RIW2,,148,bacterial,nonUG
A0A4D4JQY3,,148,bacterial,nonUG
A0A7T9Q9A5,,149,bacterial,nonUG
A0A3L7AS01,,149,bacterial,nonUG
A0A7K0PXP3,,150,bacterial,nonUG
A0A545SWJ1,,150,bacterial,nonUG
A0A142WXM8,,151,bacterial,nonUG
A0A1I3ASZ8,,151,bacterial,nonUG
A0A517QZS4,,152,bacterial,nonUG
A0A559QUQ0,,152,bacterial,nonUG
L8DCB7,,153,bacterial,nonUG
A0A6I3JCD7,,153,bacterial,nonUG
A0A5M8T0C4,,154,bacterial,nonUG
M5TV13,,154,bacterial,nonUG
A0A3A0CIY8,,155,bacterial,nonUG
A0A1V6G761,,155,bacterial,nonUG
A0A524F5W7,,156,bacterial,nonUG
A0A1G0XRL8,,156,bacterial,nonUG
A0A368M433,,157,bacterial,nonUG
A0A7C5ZQQ1,,157,bacterial,nonUG
A0A2D6QGU2,,158,bacterial,nonUG
A0A660WFW6,,158,bacterial,nonUG
A0A246IDZ3,,159,bacterial,nonUG
A0A3G2W9F9,,159,bacterial,nonUG
R7G4H2,,160,bacterial,nonUG
A0A239J3H4,,160,bacterial,nonUG
A0A5C5XWA2,,161,bacterial,nonUG
A0A6V7BSW7,,161,bacterial,nonUG
B8J4W6,,162,bacterial,nonUG
A0A0A1FCI1,,162,bacterial,nonUG
A0A7C5FUK9,,163,bacterial,nonUG
A0A7Z0B2A4,,163,bacterial,nonUG
A0A3M5Y0G6,,164,bacterial,nonUG
A0A4R8FFH2,,164,bacterial,nonUG
A0A1V2V7Y9,,165,bacterial,nonUG
A0A1E3Y6T3,,165,bacterial,nonUG
A0A2N3F7S0,,166,bacterial,nonUG
U1HNM0,,166,bacterial,nonUG
A0A127V9G1,,167,bacterial,nonUG
A0A0G0BN90,,167,bacterial,nonUG
A0A4R5PI99,,168,bacterial,nonUG
A0A2X4TP36,,168,bacterial,nonUG
A0A7T5CI75,,169,bacterial,nonUG
A0A1I7IP24,,169,bacterial,nonUG
A0A2N1QUC8,,170,bacterial,nonUG
A0A480A4H3,,170,bacterial,nonUG
A0A6H2BWV1,,171,bacterial,nonUG
B1WTX0,,171,bacterial,nonUG
A0A0G1YXM6,,172,bacterial,nonUG
B9E9Y3,,172,bacterial,nonUG
A0A3M8H4J5,,173,bacterial,nonUG
A0A4R0Z4S4,,173,bacterial,nonUG
A0A7L8R307,,174,bacterial,nonUG
A0A2G5VZ17,,174,bacterial,nonUG
A0A511ITH3,,175,bacterial,nonUG
R6J3U1,,175,bacterial,nonUG
A0A699GDL5,,176,bacterial,nonUG
A0A315EMF7,,176,bacterial,nonUG
A0A7Y4YNY3,,177,bacterial,nonUG
A0A432XGE6,,177,bacterial,nonUG
A0A4Y8W9C6,,178,bacterial,nonUG
A0A2G0VQF1,,178,bacterial,nonUG
A0A0Q8AXE6,,179,bacterial,nonUG
A0A3S0WZB9,,179,bacterial,nonUG
A0A443IK64,,180,bacterial,nonUG
A0A1S6FJR2,,180,bacterial,nonUG
A0A5C4XRK9,,181,bacterial,nonUG
A0A375FCM2,,181,bacterial,nonUG
A0A3A1WIF7,,182,bacterial,nonUG
A0A1X7FB28,,182,bacterial,nonUG
A0A5S3TKL8,,183,bacterial,nonUG
A0A829G084,,183,bacterial,nonUG
A0A0F2E545,,184,bacterial,nonUG
A0A3Q9V5C4,,184,bacterial,nonUG
A6W1H0,,185,bacterial,nonUG
A0A1G6PZM7,,185,bacterial,nonUG
N9R133,,186,bacterial,nonUG
A0A4R0FAL2,,186,bacterial,nonUG
A0A5C8ED44,,187,bacterial,nonUG
A0A5A5TYR4,,187,bacterial,nonUG
A0A5R9BU29,,188,bacterial,nonUG
A0A377R2E1,,188,bacterial,nonUG
A0A8A8C4R3,,189,bacterial,nonUG
A0A2E0UMP0,,189,bacterial,nonUG
A0A1G3UCI0,,190,bacterial,nonUG
A0A2P2DQX3,,190,bacterial,nonUG
A0A0G1AWZ5,,191,bacterial,nonUG
A0A2G7H0Y5,,191,bacterial,nonUG
A0A7K1ZRA7,,192,bacterial,nonUG
A0A2V4MXS3,,192,bacterial,nonUG
A0A2T5JZ32,,193,bacterial,nonUG
A0A374RNP6,,193,bacterial,nonUG
A0A4Q4AJF4,,194,bacterial,nonUG
A0A1Y4BKD3,,194,bacterial,nonUG
A0A3N0AT12,,195,bacterial,nonUG
A0A6N8ECM6,,195,bacterial,nonUG
A0A661EH64,,196,bacterial,nonUG
A0A8A5DY34,,196,bacterial,nonUG
A0A520XGB5,,197,bacterial,nonUG
A0A5C7FCE5,,197,bacterial,nonUG
A0A349D5U3,,198,bacterial,nonUG
A0A1H7BW72,,198,bacterial,nonUG
A0A0X8G537,,199,bacterial,nonUG
A0A3B9HJY7,,199,bacterial,nonUG
A0A7C5JJ29,,200,bacterial,nonUG
A0A4Q2UMN3,,200,bacterial,nonUG
F4L2L2,,201,bacterial,nonUG
A0A7Y5R4K9,,201,bacterial,nonUG
A0A7V4YT00,,202,bacterial,nonUG
A0A3M1XY97,,202,bacterial,nonUG
A0A2N2VUZ8,,203,bacterial,nonUG
F4L831,,203,bacterial,nonUG
A0A286IR28,,204,bacterial,nonUG
A0A257K5R2,,204,bacterial,nonUG
A0A7G5XFR0,,205,bacterial,nonUG
A0A543G857,,205,bacterial,nonUG
A0A3D6BEX3,,206,bacterial,nonUG
A0A847YUB9,,206,bacterial,nonUG
A0A154L339,,207,bacterial,nonUG
A0A2E9CHQ2,,207,bacterial,nonUG
A0A1H3Q121,,208,bacterial,nonUG
A0A6G7ZTR9,,208,bacterial,nonUG
A0A450U8A4,,209,bacterial,nonUG
A0A3R7G947,,209,bacterial,nonUG
A0A4Q5WYX7,,210,bacterial,nonUG
A0A1Z4UJ08,,210,bacterial,nonUG
A0A1H4FZM5,,211,bacterial,nonUG
A0A381FBL1,,211,bacterial,nonUG
A0A434A2G2,,212,bacterial,nonUG
A0A2M9X8C6,,212,bacterial,nonUG
A0A542R1X2,,213,bacterial,nonUG
A0A365CWF1,,213,bacterial,nonUG
A0A4V1Z2G7,,214,bacterial,nonUG
F5XG09,,214,bacterial,nonUG
A0A5P2BY17,,215,bacterial,nonUG
A0A839IED0,,215,bacterial,nonUG
A0A7X7Q856,,216,bacterial,nonUG
A0A5J5IQ12,,216,bacterial,nonUG
A0A3N2C765,,217,bacterial,nonUG
A0A0F0L4Y0,,217,bacterial,nonUG
A0A1G2VU88,,218,bacterial,nonUG
A0A7K1UGW9,,218,bacterial,nonUG
A0A1Y3YXB3,,219,bacterial,nonUG
A0A349DTE5,,219,bacterial,nonUG
A0A4Q3GXB5,,220,bacterial,nonUG
A0A2U2P9I1,,220,bacterial,nonUG
A0A255TEM0,,221,bacterial,nonUG
A0A329Z8Q9,,221,bacterial,nonUG
A0A7U3ZJ92,,222,bacterial,nonUG
A0A4Z0PKM5,,222,bacterial,nonUG
A0A426R7U6,,223,bacterial,nonUG
A0A1Y4V4G6,,223,bacterial,nonUG
A0A497ZE76,,224,bacterial,nonUG
A0A3D6DGX2,,224,bacterial,nonUG
A0A3N2KTF9,,225,bacterial,nonUG
A0A4R6STT1,,225,bacterial,nonUG
A0A096CU58,,226,bacterial,nonUG
A0A1G7IQS8,,226,bacterial,nonUG
A0A4P6B4I5,,227,bacterial,nonUG
A0A6P2GI26,,227,bacterial,nonUG
C6C382,,228,bacterial,nonUG
A0A4R0PEV5,,228,bacterial,nonUG
A0A120LUV8,,229,bacterial,nonUG
A0A2T5XPL1,,229,bacterial,nonUG
A0A529U4U5,,230,bacterial,nonUG
A0A4P8QJS0,,230,bacterial,nonUG
A0A2A3VLQ3,,231,bacterial,nonUG
A0A4Q3YT09,,231,bacterial,nonUG
K2K784,,232,bacterial,nonUG
A0A7L4WSR8,,232,bacterial,nonUG
A0A7U5N8X8,,233,bacterial,nonUG
A0A7Y0WS86,,233,bacterial,nonUG
A0A7H8SEW2,,234,bacterial,nonUG
A0A6S6SAG2,,234,bacterial,nonUG
A0A2S9KF84,,235,bacterial,nonUG
A0A4Q0MUA6,,235,bacterial,nonUG
A0A1G8CEE1,,236,bacterial,nonUG
A0A7W8IWX5,,236,bacterial,nonUG
A0A6M1TB84,,237,bacterial,nonUG
A0A202DEV6,,237,bacterial,nonUG
A0A315CA38,,238,bacterial,nonUG
A0A2E1Q1G6,,238,bacterial,nonUG
A0A6N6VNB7,,239,bacterial,nonUG
A0A2S7BY03,,239,bacterial,nonUG
A0A651FKZ1,,240,bacterial,nonUG
A0A7U2KTX2,,240,bacterial,nonUG
A0A2E6Z9I7,,241,bacterial,nonUG
A0A1E3G752,,241,bacterial,nonUG
A0A3E2XP75,,242,bacterial,nonUG
A0A3R5WDL8,,242,bacterial,nonUG
A0A1C6G4I3,,243,bacterial,nonUG
I0JJN7,,243,bacterial,nonUG
A0A3C1DA65,,244,bacterial,nonUG
A0A1Y4DX26,,244,bacterial,nonUG
U4KTH3,,245,bacterial,nonUG
E1X5W3,,245,bacterial,nonUG
A0A8A4E1J0,,246,bacterial,nonUG
A0A2T0QIC2,,246,bacterial,nonUG
A0A7W3U4Q6,,247,bacterial,nonUG
A0A2D5EB16,,247,bacterial,nonUG
A0A1S1NT53,,248,bacterial,nonUG
A0A286BYP3,,248,bacterial,nonUG
A0A4Q0ZWU5,,249,bacterial,nonUG
A0A7U6KER9,,249,bacterial,nonUG
R6ENK7,,250,bacterial,nonUG
A0A413S246,,250,bacterial,nonUG
A0A1C5TKL9,,251,bacterial,nonUG
A0A174EVV8,,251,bacterial,nonUG
A0A5C0SJW7,,252,bacterial,nonUG
A0A437QRU2,,252,bacterial,nonUG
A0A750HWH1,,253,bacterial,nonUG
A0A6G8JFW3,,253,bacterial,nonUG
A0A1E7D7S1,,254,bacterial,nonUG
A0A7X2ICF5,,254,bacterial,nonUG
A0A1L5QMC7,,255,bacterial,nonUG
A0A1B8YIM8,,255,bacterial,nonUG
A0A060UQT7,,256,bacterial,nonUG
A0A2M7HVL5,,256,bacterial,nonUG
A0A482ZGF3,,257,bacterial,nonUG
A0A521GP55,,257,bacterial,nonUG
A0A1F6DG67,,258,bacterial,nonUG
K1YN85,,258,bacterial,nonUG
A0A839JPI2,,259,bacterial,nonUG
A0A1G7UPP1,,259,bacterial,nonUG
A0A3M2CTV6,,260,bacterial,nonUG
A0A5C7LPJ9,,260,bacterial,nonUG
A0A1E8FE34,,261,bacterial,nonUG
A0A382GGX9,,261,bacterial,nonUG
A0A2K7SZ61,,262,bacterial,nonUG
M4U5P9,,262,bacterial,nonUG
A0A7L8QKD3,,263,bacterial,nonUG
A0A1G1V1Y3,,263,bacterial,nonUG
A0A661HKC1,,264,bacterial,nonUG
A0A2A7AJ35,,264,bacterial,nonUG
A0A658JSF7,,265,bacterial,nonUG
A0A1Y4N5E2,,265,bacterial,nonUG
A0A1S8TKN2,,266,bacterial,nonUG
A0A6G8ALK5,,266,bacterial,nonUG
A0A2G2MIC4,,267,bacterial,nonUG
A0A371S6Z3,,267,bacterial,nonUG
A0A5C1G6C6,,268,bacterial,nonUG
A0A1I6HZH8,,268,bacterial,nonUG
A0A1M7IFD3,,269,bacterial,nonUG
A0A2A7AQX3,,269,bacterial,nonUG
F1T8Z5,,270,bacterial,nonUG
A0A8B5Y3N1,,270,bacterial,nonUG
A0A7U9SC39,,271,bacterial,nonUG
A0A4V3RYP2,,271,bacterial,nonUG
A0A3R6RE91,,272,bacterial,nonUG
A0A2G2HHQ9,,272,bacterial,nonUG
A0A3S5BZ18,,273,bacterial,nonUG
Q7MKL2,,273,bacterial,nonUG
A0A509YJI1,,274,bacterial,nonUG
A0A5S3WMD4,,274,bacterial,nonUG
A0A0T9LB76,,275,bacterial,nonUG
A0A167IYL6,,275,bacterial,nonUG
A0A6I7DBK1,,276,bacterial,nonUG
A0A2A2N6V7,,276,bacterial,nonUG
A0A420Z7W1,,277,bacterial,nonUG
A0A357G6D1,,277,bacterial,nonUG
A0A0G0BGG4,,278,bacterial,nonUG
A0A268NW96,,278,bacterial,nonUG
A0A848CC69,,279,bacterial,nonUG
A0A1Y4D6V3,,279,bacterial,nonUG
K1YJ08,,280,bacterial,nonUG
A0A2G6PLS9,,280,bacterial,nonUG
A0A0F9BDF5,,281,bacterial,nonUG
A0A2D6NFY2,,281,bacterial,nonUG
A0A7X7TSB4,,282,bacterial,nonUG
A0A0G1L357,,282,bacterial,nonUG
A0A2M7XEI2,,283,bacterial,nonUG
A0A3B8LUX1,,283,bacterial,nonUG
A0A3M1B7D4,,284,bacterial,nonUG
A0A2E9QPB3,,284,bacterial,nonUG
A0A2E8FF66,,285,bacterial,nonUG
A0A0G1XH55,retron,285,bacterial,nonUG
A0A0G1BMA6,retron,286,bacterial,nonUG
A0A1F5ECS9,retron,286,bacterial,nonUG
A0A2G9YW32,retron,287,bacterial,nonUG
A0A1G1XRC6,retron,287,bacterial,nonUG
A0A0G0XE80,retron,288,bacterial,nonUG
A0A1G1W8T9,retron,288,bacterial,nonUG
A0A1F5EC00,retron,289,bacterial,nonUG
A0A2G9YW18,retron,289,bacterial,nonUG
A0A1G2FIW9,retron,290,bacterial,nonUG
A0A3D2P996,retron,290,bacterial,nonUG
A0A2D9Y5Z3,retron,291,bacterial,nonUG
A0A0G0HAC7,retron,291,bacterial,nonUG
A0A3A4UT07,retron,292,bacterial,nonUG
A0A2H0R4M2,retron,292,bacterial,nonUG
A0A7C4EMN9,retron,293,bacterial,nonUG
A0A1F5EA23,retron,293,bacterial,nonUG
A0A1G2QXX7,retron,294,bacterial,nonUG
A0A521Z981,retron,294,bacterial,nonUG
A0A521Z9G4,retron,295,bacterial,nonUG
A0A2A4SFJ0,retron,295,bacterial,nonUG
A0A1G2V187,retron,296,bacterial,nonUG
A0A7C4M0A5,retron,296,bacterial,nonUG
